spatial_id,atm,atm,atm,bakery,bakery,bakery,bakery,bakery,bank,bank,bank,beauty_salon,beauty_salon,beauty_salon,beauty_salon,beauty_salon,book_store,book_store,book_store,bus_station,bus_station,bus_station,cafe,cafe,cafe,cafe,cafe,clothing_store,clothing_store,clothing_store,clothing_store,clothing_store,convenience_store,convenience_store,convenience_store,convenience_store,convenience_store,dentist,dentist,dentist,department_store,department_store,department_store,doctor,doctor,doctor,electronics_store,electronics_store,electronics_store,florist,florist,florist,furniture_store,furniture_store,furniture_store,gym,gym,gym,hair_care,hair_care,hair_care,hair_care,hair_care,hardware_store,hardware_store,hardware_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,hospital,hospital,hospital,laundry,laundry,laundry,library,library,library,liquor_store,liquor_store,liquor_store,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,park,park,park,park,park,pet_store,pet_store,pet_store,pharmacy,pharmacy,pharmacy,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,school,school,school,shoe_store,shoe_store,shoe_store,shopping_mall,shopping_mall,shopping_mall,store,store,store,store,store,supermarket,supermarket,supermarket,supermarket,supermarket,train_station
060770010002,7,7,8,3,9,9,10,14,8,9,12,6,8,9,9,9,8,9,10,8,8,11,7,9,9,13,13,9,10,10,11,12,9,9,10,11,13,8,8,8,8,8,11,7,7,7,9,12,15,5,8,14,4,9,9,9,9,11,8,9,9,9,10,3,9,9,6,7,7,7,8,11,12,12,4,6,9,8,8,9,8,9,11,7,8,9,9,11,9,10,11,13,13,5,10,11,9,9,11,5,6,6,6,6,7,8,8,8,9,7,7,9,8,11,11,8,9,11,7,8,8,9,10,8,8,9,10,10,8
060770010003,10,11,13,7,11,12,13,14,9,11,16,10,12,12,14,14,10,11,13,11,12,14,10,11,13,13,16,11,13,15,15,17,8,11,12,15,16,11,11,11,11,11,14,10,10,10,8,12,17,9,9,14,7,14,16,8,10,14,12,12,12,15,15,12,12,14,9,10,10,10,11,12,12,12,11,12,17,9,9,12,11,11,15,10,10,12,12,12,9,9,12,13,15,7,13,14,11,11,14,8,9,9,9,10,10,11,11,11,12,10,10,12,10,14,14,11,12,15,10,11,11,12,14,9,10,12,13,14,11
060770010004,9,9,10,5,11,11,11,15,10,11,14,9,9,9,10,13,10,11,12,10,10,13,9,11,11,15,15,10,10,11,12,13,11,13,13,14,15,10,10,10,10,10,13,9,9,9,10,11,12,7,10,15,6,11,11,9,11,13,8,10,11,11,11,10,11,13,9,9,9,10,10,12,13,13,6,8,12,10,11,11,10,11,13,9,10,11,11,13,11,12,14,15,15,7,12,13,11,13,14,8,8,8,8,8,9,9,10,10,10,9,9,11,10,13,13,10,11,13,9,10,10,10,12,9,10,10,12,12,10
060770011011,9,10,13,3,5,7,7,12,7,13,16,10,13,13,15,15,5,6,13,10,12,12,5,6,7,12,13,6,12,12,12,14,6,7,7,14,17,8,8,8,11,11,14,11,11,11,9,11,13,4,11,11,6,6,6,2,5,5,8,10,12,13,14,12,12,15,10,10,10,10,12,8,8,8,4,7,7,3,4,12,7,12,12,5,5,6,8,12,4,4,12,12,16,3,13,15,7,7,7,9,9,9,9,10,10,10,11,11,12,10,10,12,11,14,15,10,11,12,10,11,11,12,14,4,6,12,12,12,12
060770011012,10,10,12,5,7,9,10,12,9,13,16,10,12,12,12,14,8,9,13,12,12,14,8,8,9,13,13,8,12,12,14,14,8,9,10,10,16,11,11,11,11,11,14,10,10,10,9,11,14,7,13,13,7,8,9,3,7,8,11,11,13,13,13,13,14,15,10,10,10,10,12,10,10,10,7,10,13,7,7,12,9,10,12,8,8,9,12,13,7,7,12,12,13,5,13,14,9,9,12,8,9,9,9,9,10,10,12,12,12,10,10,12,10,14,14,11,11,13,10,11,12,12,14,7,8,12,14,15,11
060770011021,7,8,11,2,5,6,7,11,4,6,15,6,9,11,14,14,5,6,12,10,11,13,5,5,5,11,12,5,8,10,11,14,6,6,6,12,16,7,7,7,10,10,13,9,9,9,8,10,13,4,10,10,5,5,5,2,4,5,7,8,11,12,12,11,13,13,9,9,9,10,11,7,7,7,3,6,7,4,4,11,5,6,11,4,5,6,11,11,3,11,11,11,15,1,12,13,6,6,6,8,8,8,9,9,10,10,10,11,11,8,9,11,10,13,14,9,9,10,9,9,10,11,12,4,5,11,11,11,10
060770011023,8,10,12,2,6,11,11,13,7,8,14,10,10,11,12,12,8,9,12,10,10,12,9,10,11,15,15,7,10,11,15,15,7,8,12,13,14,9,9,11,9,9,12,8,8,8,10,12,16,7,7,13,6,6,13,6,7,8,10,10,10,11,13,2,10,11,7,8,8,8,10,10,10,10,6,8,15,7,7,10,8,9,10,8,8,10,10,11,7,10,12,13,14,3,11,12,8,8,10,6,7,7,8,8,8,9,10,10,10,8,9,10,8,12,12,9,9,13,9,9,10,10,12,7,7,10,12,13,9
060770011024,9,11,12,2,8,8,11,11,6,7,14,8,10,11,13,13,6,7,12,10,10,13,7,7,11,11,12,6,6,9,10,13,7,8,13,14,15,9,9,10,9,9,13,9,9,9,7,9,11,5,6,12,7,7,7,5,7,12,10,10,12,13,15,11,11,11,8,9,9,9,11,9,9,9,4,7,8,6,6,11,7,8,11,6,6,7,10,11,5,6,13,14,15,3,12,15,7,7,10,7,8,8,8,8,8,9,10,10,11,9,10,10,9,13,13,10,11,12,9,10,10,10,12,6,6,11,12,13,10
060770011025,8,10,10,3,9,10,10,12,7,8,13,7,10,10,12,12,7,8,11,9,9,12,7,8,11,11,14,7,8,9,11,14,7,8,9,9,14,9,9,12,8,8,12,8,8,8,8,8,14,6,7,13,5,5,5,6,8,11,8,10,11,12,12,10,10,12,7,7,8,8,8,10,10,10,9,9,15,7,7,10,8,9,10,7,8,9,10,10,6,7,11,12,13,4,11,12,8,8,11,6,7,7,7,7,8,9,9,9,10,8,9,9,8,12,12,9,9,13,8,9,9,10,11,6,7,10,11,11,9
060770012001,9,10,12,5,6,6,9,13,13,13,16,10,10,11,12,14,4,5,14,11,12,12,4,13,13,14,18,5,6,9,9,13,5,6,7,12,17,8,8,8,12,12,14,11,11,12,6,7,9,3,9,9,6,6,7,3,4,4,6,7,9,11,14,13,15,15,10,10,11,12,12,7,7,7,3,5,6,3,4,13,6,13,13,4,4,7,12,13,3,10,12,13,16,3,12,13,6,6,6,10,10,10,10,11,11,12,12,13,14,11,12,12,11,14,14,10,11,13,11,11,12,12,14,3,5,11,11,13,12
060770012002,7,12,12,3,4,5,8,13,14,14,16,8,9,10,13,13,2,3,14,12,15,15,2,13,13,14,18,3,6,7,11,13,3,4,7,10,17,5,5,5,9,11,14,9,9,9,4,6,10,2,8,8,4,6,6,2,3,4,5,5,5,9,11,12,14,16,10,10,10,11,12,5,5,5,3,3,4,3,3,13,4,10,11,2,5,6,13,13,2,8,13,13,17,3,11,12,4,4,4,10,10,11,11,11,12,12,12,12,13,7,8,10,9,12,14,8,12,14,11,12,12,12,12,2,2,9,10,13,10
060770012003,6,8,11,4,4,5,7,12,3,13,15,7,8,8,9,11,1,4,14,11,11,14,1,3,6,12,14,1,2,4,8,12,3,3,3,10,16,4,4,4,8,9,13,8,8,8,4,8,9,4,9,9,4,4,4,5,5,12,2,4,4,6,8,9,9,16,9,9,9,10,12,4,6,6,2,2,3,5,6,12,8,8,12,2,2,9,11,12,2,10,12,13,16,3,11,11,3,3,3,9,9,10,10,10,11,12,12,12,13,8,8,9,8,11,13,7,11,11,10,10,11,11,13,1,3,8,8,12,9
060770012004,6,8,10,3,4,6,6,11,3,3,14,5,8,9,11,12,3,4,12,9,11,12,3,4,11,12,12,2,5,10,11,12,3,4,4,10,15,5,5,5,9,10,12,8,8,8,3,4,8,4,10,10,3,4,14,3,4,5,3,5,8,11,12,10,11,13,9,9,9,9,10,6,7,7,3,3,3,4,4,11,5,9,11,3,3,4,10,10,0,11,11,13,14,1,11,12,3,3,3,7,8,8,9,9,9,10,10,11,11,7,9,9,8,12,12,7,10,11,9,9,11,11,12,2,4,8,9,11,9
